Designator,Mid X,Mid Y,Rotation,Layer
D50,165.05,-56.4,90.0,bottom
D51,184.0,-56.4,90.0,bottom
D52,203.05,-56.4,90.0,bottom
D53,222.0,-56.4,90.0,bottom
D54,256.95,-56.4,90.0,bottom
D55,10.65,-75.35,90.0,bottom
D56,34.4,-75.35,90.0,bottom
D57,58.15,-75.35,90.0,bottom
D58,129.4,-75.35,90.0,bottom
D59,200.65,-75.35,90.0,bottom
D6,103.3,0.65,90.0,bottom
D60,224.4,-75.35,90.0,bottom
D61,248.15,-75.35,90.0,bottom
D62,271.9,-75.35,90.0,bottom
D63,298.05,0.7375,90.0,bottom
D64,317.05,0.6875,90.0,bottom
D65,336.0,0.75,90.0,bottom
D66,298.0,-18.3875,90.0,bottom
D67,317.0,-18.3875,90.0,bottom
D68,335.975,-18.375,90.0,bottom
D69,317.05,-56.4,90.0,bottom
D7,122.3,0.65,90.0,bottom
D70,298.0,-75.35,90.0,bottom
D71,317.05,-75.35,90.0,bottom
D72,336.05,-75.35,90.0,bottom
D8,141.3,0.65,90.0,bottom
D9,160.3,0.65,90.0,bottom
D90,8.25,29.15,90.0,bottom
D91,46.3,29.15,90.0,bottom
D92,65.3,29.15,90.0,bottom
D93,84.25,29.15,90.0,bottom
D94,103.25,29.15,90.0,bottom
D95,131.75,29.15,90.0,bottom
D96,150.75,29.15,90.0,bottom
D97,169.75,29.15,90.0,bottom
D98,188.75,29.15,90.0,bottom
D99,217.25,29.15,90.0,bottom
DL1,289.35,-37.0,90.0,bottom
DL2,286.0,-37.05,90.0,bottom
IC1,332.05,-53.538,270.0,bottom
J1,195.1,36.29,0.0,bottom
J2,293.95,-36.16,180.0,bottom
J3,338.4,-23.0,0.0,bottom
J4,163.5,-84.9,270.0,bottom
J5,163.5,38.9,90.0,bottom
J6,-11.35,-23.0,180.0,bottom
J7,160.9,14.1,180.0,bottom
J8,16.0,39.65,90.0,bottom
J9,85.5,-85.6625,270.0,bottom
R1,321.687132,-53.081497,45.0,bottom
R10,289.36,-40.251666,270.0,bottom
R11,286.02,-40.251666,270.0,bottom
R12,324.925,-65.95,0.0,bottom
R13,324.925,-67.475,0.0,bottom
R14,333.25,-79.95,0.0,bottom
R15,5.875,18.15,0.0,bottom
R16,5.875,16.6,0.0,bottom
R17,330.9,-47.2,0.0,bottom
R18,330.9,-48.8,0.0,bottom
R19,330.6,-60.9,0.0,bottom
R2,332.5,-40.55,0.0,bottom
R20,330.6,-59.3,0.0,bottom
R21,336.5,-54.2,180.0,bottom
R3,337.6,-29.9,270.0,bottom
R4,322.725,-32.225,270.0,bottom
R5,321.2,-32.225,270.0,bottom
R6,192.2,30.7,180.0,bottom
R7,198.25,30.7,0.0,bottom
R8,328.2,-49.55,270.0,bottom
R9,309.15,-36.45,0.0,bottom
S1,330.4,-60.125,180.0,top
S2,-3.1,14.325,0.0,top
SW1,304.6,-36.3,90.0,bottom
SW2,299.05,-36.3,270.0,bottom
U1,0.0,0.0,0.0,top
U10,171.0,0.0,0.0,top
U100,228.0,28.5,0.0,top
U101,247.0,28.5,0.0,top
U102,266.0,28.5,0.0,top
U103,289.75,28.5,0.0,top
U104,308.75,28.5,0.0,top
U105,327.75,28.5,0.0,top
U11,190.0,0.0,0.0,top
U12,209.0,0.0,0.0,top
U13,228.0,0.0,0.0,top
U14,256.5,0.0,0.0,top
U15,4.75,-19.0,0.0,top
U16,28.5,-19.0,0.0,top
U17,47.5,-19.0,0.0,top
U18,66.5,-19.0,0.0,top
U19,85.5,-19.0,0.0,top
U2,19.0,0.0,0.0,top
U20,104.5,-19.0,0.0,top
U201,323.15,-43.15,180.0,bottom
U202,331.95,-33.15,180.0,bottom
U203,312.75,-37.4,0.0,bottom
U21,123.5,-19.0,0.0,top
U22,142.5,-19.0,0.0,top
U23,161.5,-19.0,0.0,top
U24,180.5,-19.0,0.0,top
U25,199.5,-19.0,0.0,top
U26,218.5,-19.0,0.0,top
U27,237.5,-19.0,0.0,top
U28,263.62,-28.5,0.0,top
U29,7.125,-38.0,0.0,top
U3,38.0,0.0,0.0,top
U30,33.32,-38.0,0.0,top
U31,51.97,-38.0,0.0,top
U32,70.97,-38.0,0.0,top
U33,89.97,-38.0,0.0,top
U34,108.97,-38.0,0.0,top
U35,127.97,-38.0,0.0,top
U36,146.97,-38.0,0.0,top
U37,165.97,-38.0,0.0,top
U38,184.97,-38.0,0.0,top
U39,203.97,-38.0,0.0,top
U4,57.0,0.0,0.0,top
U40,222.97,-38.0,0.0,top
U41,241.97,-38.0,0.0,top
U42,2.375,-57.0,0.0,top
U43,23.75,-57.0,0.0,top
U44,42.75,-57.0,0.0,top
U45,61.75,-57.0,0.0,top
U46,80.75,-57.0,0.0,top
U47,99.75,-57.0,0.0,top
U48,118.75,-57.0,0.0,top
U49,137.75,-57.0,0.0,top
U5,76.0,0.0,0.0,top
U50,156.75,-57.0,0.0,top
U51,175.75,-57.0,0.0,top
U52,194.75,-57.0,0.0,top
U53,213.75,-57.0,0.0,top
U54,249.375,-57.0,0.0,top
U55,2.375,-76.0,0.0,top
U56,26.125,-76.0,0.0,top
U57,49.875,-76.0,0.0,top
